relation_id,relation_name,mapping_type,train_support,test_support,head_support,tail_support,eligible_support,inverse_strength,best_inverse_partner_id,best_inverse_partner_name,best_inverse_score,best_inverse_overlap_count,hits_r,alpha_r,delta_r
0,/location/country/form_of_government,M-N,298,43,43,43,63,0.0,1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,0.0,0,0.647840542452676,0.2222222238779068,0.14285714285714285
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1-N,1272,91,91,91,65,0.3498427672955975,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.3498427672955975,445,0.27394035884312223,0.4153846204280853,0.23076923076923078
2,/media_common/netflix_genre/titles,M-N,2671,124,124,124,136,0.48408835642081616,31,/film/film/genre,0.48408835642081616,1293,0.4884792608874185,0.1985294073820114,0.11029411764705882
3,/award/award_winner/awards_won./award/award_honor/award_winner,M-N,8423,41,41,41,56,0.7446278048201354,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.7446278048201354,6272,0.614982579435621,0.1964285671710968,0.08928571428571429
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,M-N,2262,12,12,12,12,0.8081343943412909,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8081343943412909,1828,0.5,0.0,0.0
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,M-N,2265,10,10,10,10,0.8141280353200883,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8141280353200883,1844,0.5,0.0,0.0
6,/film/actor/film./film/performance/film,M-N,9494,836,836,836,281,0.1014324836738993,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,0.1014324836738993,963,0.12141148213829313,0.49466192722320557,0.2313167259786477
7,/award/award_category/nominees./award/award_nomination/nominated_for,M-N,9465,858,858,858,973,0.23423137876386688,30,/award/award_winning_work/awards_won./award/award_honor/award,0.23423137876386688,2217,0.5008325023310525,0.24871531128883362,0.11408016443987667
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,M-N,15989,214,214,214,354,0.3922696854087185,3,/award/award_winner/awards_won./award/award_honor/award_winner,0.3922696854087185,6272,0.7783711637769427,0.12711864709854126,0.06497175141242938
9,/music/performance_role/regular_performances./music/group_membership/role,M-N,2655,40,40,40,38,0.44708097928436913,75,/music/performance_role/track_performances./music/track_contribution/role,0.44708097928436913,1187,0.35178570662225994,0.5,0.23684210526315788
10,/award/award_category/winners./award/award_honor/ceremony,M-N,2834,323,323,323,621,0.0,0,/location/country/form_of_government,0.0,0,0.9294559785297939,0.08534621447324753,0.037037037037037035
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,M-1,1429,158,158,158,186,0.0,0,/location/country/form_of_government,0.0,0,0.5248643670763288,0.1505376398563385,0.08064516129032258
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,M-N,2992,24,24,24,22,0.7754010695187166,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.7754010695187166,2320,0.3928571471146175,0.22727273404598236,0.18181818181818182
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,M-N,12893,1447,1447,1447,2151,0.003335143100907469,2,/media_common/netflix_genre/titles,0.003335143100907469,43,0.6262711031096322,0.3170618414878845,0.13714551371455136
14,/film/film/language,M-N,2570,314,314,314,458,0.01906614785992218,2,/media_common/netflix_genre/titles,0.01906614785992218,49,0.6455868993486676,0.2248908281326294,0.11353711790393013
15,/location/location/contains,M-N,5201,330,330,330,361,0.0886368006152663,133,/base/biblioness/bibs_location/country,0.0886368006152663,461,0.46406926427568707,0.31024929881095886,0.12742382271468145
16,/organization/organization/headquarters./location/mailing_address/country,M-1,182,7,7,7,9,0.5659340659340659,15,/location/location/contains,0.5659340659340659,103,0.4795918379511152,0.3333333432674408,0.2222222222222222
17,/people/person/profession,M-N,10945,1311,1311,1311,1591,0.0001827318410232983,20,/music/genre/artists,0.0001827318410232983,2,0.5563909666878837,0.14896291494369507,0.07228158390949088
18,/location/statistical_region/religions./location/religion_percentage/religion,M-N,596,60,60,60,103,0.0,0,/location/country/form_of_government,0.0,0,0.8107142874172756,0.12621359527111053,0.10679611650485436
19,/award/award_nominee/award_nominations./award/award_nomination/award,M-N,12157,1067,1067,1067,1162,0.31932220120095417,47,/award/award_category/winners./award/award_honor/award_winner,0.31932220120095417,3882,0.48179140261241366,0.2469879537820816,0.10585197934595525
20,/music/genre/artists,M-N,5880,664,664,664,784,0.0003401360544217687,17,/people/person/profession,0.0003401360544217687,2,0.5191480261938912,0.23341836035251617,0.09821428571428571
21,/influence/influence_node/influenced_by,M-N,1908,235,235,235,236,0.013626834381551363,196,/influence/influence_node/peers./influence/peer_relationship/peers,0.013626834381551363,26,0.37537993703569683,0.4788135588169098,0.23728813559322035
22,/education/educational_institution/students_graduates./education/education/student,1-N,2640,311,311,311,155,0.006818181818181818,159,/people/person/employment_history./business/employment_tenure/company,0.006818181818181818,18,0.1754708311387471,0.5419355034828186,0.3032258064516129
23,/organization/organization_member/member_of./organization/organization_membership/organization,M-N,797,96,96,96,172,0.050188205771643665,168,/user/ktrueman/default_domain/international_organization/member_states,0.050188205771643665,40,0.8653273837906974,0.075581394135952,0.040697674418604654
24,/people/person/place_of_birth,M-1,2465,170,170,170,82,0.00040567951318458417,21,/influence/influence_node/influenced_by,0.00040567951318458417,1,0.19831933081150055,0.37804877758026123,0.2073170731707317
25,/common/topic/webpage./common/webpage/category,M-1,3612,402,402,402,415,0.0,0,/location/country/form_of_government,0.0,0,0.5044420787266323,0.03614457696676254,0.021686746987951807
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,M-N,5305,606,606,606,744,0.0,0,/location/country/form_of_government,0.0,0,0.5581093771117074,0.1639784872531891,0.08064516129032258
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,M-N,2727,317,317,317,348,0.0,0,/location/country/form_of_government,0.0,0,0.4659756677491324,0.2931034564971924,0.14080459770114942
28,/film/film/country,M-1,2407,131,131,131,151,0.06522642293311176,2,/media_common/netflix_genre/titles,0.06522642293311176,157,0.5256270510809762,0.16556291282176971,0.08609271523178808
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,M-N,2130,258,258,258,406,0.0,0,/location/country/form_of_government,0.0,0,0.7170542478561401,0.21674877405166626,0.10098522167487685
