relation_id,relation_name,train_support,inverse_strength,best_inverse_partner_id,best_inverse_partner_name,best_inverse_score,best_inverse_overlap_count
0,/location/country/form_of_government,298,0.0,1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,0.0,0
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1272,0.3498427672955975,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.3498427672955975,445
2,/media_common/netflix_genre/titles,2671,0.48408835642081616,31,/film/film/genre,0.48408835642081616,1293
3,/award/award_winner/awards_won./award/award_honor/award_winner,8423,0.7446278048201354,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.7446278048201354,6272
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,2262,0.8081343943412909,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8081343943412909,1828
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,2265,0.8141280353200883,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8141280353200883,1844
6,/film/actor/film./film/performance/film,9494,0.1014324836738993,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,0.1014324836738993,963
7,/award/award_category/nominees./award/award_nomination/nominated_for,9465,0.23423137876386688,30,/award/award_winning_work/awards_won./award/award_honor/award,0.23423137876386688,2217
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,15989,0.3922696854087185,3,/award/award_winner/awards_won./award/award_honor/award_winner,0.3922696854087185,6272
9,/music/performance_role/regular_performances./music/group_membership/role,2655,0.44708097928436913,75,/music/performance_role/track_performances./music/track_contribution/role,0.44708097928436913,1187
10,/award/award_category/winners./award/award_honor/ceremony,2834,0.0,0,/location/country/form_of_government,0.0,0
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,1429,0.0,0,/location/country/form_of_government,0.0,0
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,2992,0.7754010695187166,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.7754010695187166,2320
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,12893,0.003335143100907469,2,/media_common/netflix_genre/titles,0.003335143100907469,43
14,/film/film/language,2570,0.01906614785992218,2,/media_common/netflix_genre/titles,0.01906614785992218,49
15,/location/location/contains,5201,0.0886368006152663,133,/base/biblioness/bibs_location/country,0.0886368006152663,461
16,/organization/organization/headquarters./location/mailing_address/country,182,0.5659340659340659,15,/location/location/contains,0.5659340659340659,103
17,/people/person/profession,10945,0.0001827318410232983,20,/music/genre/artists,0.0001827318410232983,2
18,/location/statistical_region/religions./location/religion_percentage/religion,596,0.0,0,/location/country/form_of_government,0.0,0
19,/award/award_nominee/award_nominations./award/award_nomination/award,12157,0.31932220120095417,47,/award/award_category/winners./award/award_honor/award_winner,0.31932220120095417,3882
20,/music/genre/artists,5880,0.0003401360544217687,17,/people/person/profession,0.0003401360544217687,2
21,/influence/influence_node/influenced_by,1908,0.013626834381551363,196,/influence/influence_node/peers./influence/peer_relationship/peers,0.013626834381551363,26
22,/education/educational_institution/students_graduates./education/education/student,2640,0.006818181818181818,159,/people/person/employment_history./business/employment_tenure/company,0.006818181818181818,18
23,/organization/organization_member/member_of./organization/organization_membership/organization,797,0.050188205771643665,168,/user/ktrueman/default_domain/international_organization/member_states,0.050188205771643665,40
24,/people/person/place_of_birth,2465,0.00040567951318458417,21,/influence/influence_node/influenced_by,0.00040567951318458417,1
25,/common/topic/webpage./common/webpage/category,3612,0.0,0,/location/country/form_of_government,0.0,0
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,5305,0.0,0,/location/country/form_of_government,0.0,0
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,2727,0.0,0,/location/country/form_of_government,0.0,0
28,/film/film/country,2407,0.06522642293311176,2,/media_common/netflix_genre/titles,0.06522642293311176,157
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,2130,0.0,0,/location/country/form_of_government,0.0,0
30,/award/award_winning_work/awards_won./award/award_honor/award,3310,0.6697885196374622,7,/award/award_category/nominees./award/award_nomination/nominated_for,0.6697885196374622,2217
31,/film/film/genre,7268,0.1779031370390754,2,/media_common/netflix_genre/titles,0.1779031370390754,1293
