relation_id,relation_name,mapping_type,train_support,self_loop_count,non_self_train_support,symmetric_supported_edge_count,symmetric_supported_non_self_edge_count,symmetry_score,symmetry_score_excluding_self_loops,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r
0,/location/country/form_of_government,M-N,298,0,298,0,0,0.0,0.0,43,43,43,67,0.6445182817322868,0.28358209133148193,0.1791044776119403
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1-N,1272,0,1272,0,0,0.0,0.0,91,91,91,72,0.23940346283572062,0.625,0.3055555555555556
2,/media_common/netflix_genre/titles,M-N,2671,0,2671,0,0,0.0,0.0,124,124,124,144,0.4879032245704106,0.3333333432674408,0.1875
3,/award/award_winner/awards_won./award/award_honor/award_winner,M-N,8423,0,8423,6860,6860,0.814436661522023,0.814436661522023,41,41,41,55,0.5975609762328011,0.23636363446712494,0.12727272727272726
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,M-N,2262,0,2262,0,0,0.0,0.0,12,12,12,12,0.5,0.0,0.0
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,M-N,2265,0,2265,0,0,0.0,0.0,10,10,10,10,0.5,0.0,0.0
6,/film/actor/film./film/performance/film,M-N,9494,0,9494,0,0,0.0,0.0,836,836,836,349,0.11508885664599282,0.7134670615196228,0.335243553008596
7,/award/award_category/nominees./award/award_nomination/nominated_for,M-N,9465,0,9465,0,0,0.0,0.0,858,858,858,1058,0.4850149835859026,0.43005672097206116,0.1890359168241966
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,M-N,15989,0,15989,12950,12950,0.8099318281318406,0.8099318281318406,214,214,214,359,0.760347136429378,0.19498607516288757,0.08913649025069638
9,/music/performance_role/regular_performances./music/group_membership/role,M-N,2655,0,2655,2170,2170,0.8173258003766478,0.8173258003766478,40,40,40,35,0.2464285705770765,0.7142857313156128,0.3142857142857143
10,/award/award_category/winners./award/award_honor/ceremony,M-N,2834,0,2834,0,0,0.0,0.0,323,323,323,619,0.9179566502571106,0.11308562010526657,0.05815831987075929
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,M-1,1429,0,1429,0,0,0.0,0.0,158,158,158,174,0.5108499016080584,0.09195402264595032,0.05747126436781609
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,M-N,2992,0,2992,0,0,0.0,0.0,24,24,24,29,0.45833333475249155,0.3448275923728943,0.2413793103448276
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,M-N,12893,0,12893,0,0,0.0,0.0,1447,1447,1447,2202,0.5800671322005135,0.48092642426490784,0.21435059037238874
14,/film/film/language,M-N,2570,0,2570,0,0,0.0,0.0,314,314,314,467,0.616469510963985,0.3276231288909912,0.15845824411134904
15,/location/location/contains,M-N,5201,0,5201,0,0,0.0,0.0,330,330,330,378,0.45800866399492535,0.36243385076522827,0.16137566137566137
16,/organization/organization/headquarters./location/mailing_address/country,M-1,182,0,182,0,0,0.0,0.0,7,7,7,6,0.4285714328289032,0.0,0.0
17,/people/person/profession,M-N,10945,1,10944,1,0,9.136592051164915e-05,0.0,1311,1311,1311,1668,0.5443500110081264,0.2625899314880371,0.11750599520383694
18,/location/statistical_region/religions./location/religion_percentage/religion,M-N,596,0,596,0,0,0.0,0.0,60,60,60,109,0.7880952443395343,0.26605504751205444,0.14678899082568808
19,/award/award_nominee/award_nominations./award/award_nomination/award,M-N,12157,0,12157,0,0,0.0,0.0,1067,1067,1067,1236,0.44818583130836487,0.44983819127082825,0.19579288025889968
20,/music/genre/artists,M-N,5880,0,5880,0,0,0.0,0.0,664,664,664,832,0.46987952079091755,0.45673078298568726,0.20432692307692307
21,/influence/influence_node/influenced_by,M-N,1908,2,1906,54,52,0.02830188679245283,0.02728226652675761,235,235,235,226,0.31094224538121906,0.6548672318458557,0.3141592920353982
22,/education/educational_institution/students_graduates./education/education/student,1-N,2640,0,2640,0,0,0.0,0.0,311,311,311,174,0.1635277909891946,0.7126436829566956,0.3103448275862069
23,/organization/organization_member/member_of./organization/organization_membership/organization,M-N,797,0,797,0,0,0.0,0.0,96,96,96,177,0.8422619019235883,0.16384181380271912,0.0903954802259887
24,/people/person/place_of_birth,M-1,2465,0,2465,0,0,0.0,0.0,170,170,170,87,0.18193277716636658,0.5517241358757019,0.26436781609195403
25,/common/topic/webpage./common/webpage/category,M-1,3612,0,3612,0,0,0.0,0.0,402,402,402,418,0.5076403617858887,0.031100478023290634,0.019138755980861243
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,M-N,5305,0,5305,0,0,0.0,0.0,606,606,606,767,0.5410183923585075,0.24250325560569763,0.1121251629726206
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,M-N,2727,0,2727,0,0,0.0,0.0,317,317,317,383,0.46597567200660706,0.4647519588470459,0.22193211488250653
28,/film/film/country,M-1,2407,0,2407,0,0,0.0,0.0,131,131,131,137,0.48364231841904776,0.131386861205101,0.06569343065693431
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,M-N,2130,0,2130,0,0,0.0,0.0,258,258,258,438,0.6973975556237357,0.38127854466438293,0.1872146118721461
30,/award/award_winning_work/awards_won./award/award_honor/award,M-N,3310,0,3310,0,0,0.0,0.0,118,118,118,123,0.3765133193561009,0.4796747863292694,0.24390243902439024
31,/film/film/genre,M-N,7268,1,7267,1,0,0.0001375894331315355,0.0,722,722,722,818,0.46299960783549715,0.3484107553958893,0.1552567237163814
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,M-N,2337,0,2337,0,0,0.0,0.0,160,160,160,176,0.4227678562913622,0.46022728085517883,0.2159090909090909
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,M-1,373,0,373,0,0,0.0,0.0,46,46,46,55,0.5232919199126107,0.16363635659217834,0.12727272727272726
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,M-1,1210,0,1210,0,0,0.0,0.0,151,151,151,207,0.5704825009618487,0.256038635969162,0.11594202898550725
35,/government/legislative_session/members./government/government_position_held/district_represented,M-N,1070,0,1070,0,0,0.0,0.0,117,117,117,233,0.9597069365637643,0.09442060440778732,0.04721030042918455
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,M-N,622,0,622,0,0,0.0,0.0,1,1,1,1,0.5,0.0,0.0
