model,dataset,baseline,relation_id,relation_name,mapping_type,side,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
TransE,FB15k237,without,0,/location/country/form_of_government,M-N,head,43,43,24,0.2890365443059376,0.7916666865348816,0.5
TransE,FB15k237,without,1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1-N,head,91,91,50,0.34536892601421904,0.5799999833106995,0.26
TransE,FB15k237,without,2,/media_common/netflix_genre/titles,M-N,head,124,124,114,0.828341007232666,0.21929824352264404,0.12280701754385964
TransE,FB15k237,without,3,/award/award_winner/awards_won./award/award_honor/award_winner,M-N,head,41,41,26,0.5609756112098694,0.23076923191547394,0.11538461538461539
TransE,FB15k237,without,4,/soccer/football_team/current_roster./sports/sports_team_roster/position,M-N,head,12,12,0,0.0,,
TransE,FB15k237,without,5,/soccer/football_team/current_roster./soccer/football_roster_position/position,M-N,head,10,10,0,0.0,,
TransE,FB15k237,without,6,/film/actor/film./film/performance/film,M-N,head,836,836,173,0.11278195466314044,0.7283236980438232,0.3468208092485549
TransE,FB15k237,without,7,/award/award_category/nominees./award/award_nomination/nominated_for,M-N,head,858,858,732,0.725108231816973,0.33196720480918884,0.14754098360655737
TransE,FB15k237,without,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,M-N,head,214,214,181,0.7570093614714486,0.2154696136713028,0.10497237569060773
TransE,FB15k237,without,9,/music/performance_role/regular_performances./music/group_membership/role,M-N,head,40,40,17,0.23928571598870413,0.7058823704719543,0.29411764705882354
TransE,FB15k237,without,10,/award/award_category/winners./award/award_honor/ceremony,M-N,head,323,323,307,0.9071207472256252,0.1335504949092865,0.06840390879478828
TransE,FB15k237,without,11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,M-1,head,158,158,16,0.02169981924816966,1.0,0.625
TransE,FB15k237,without,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,M-N,head,24,24,16,0.5119047633239201,0.3125,0.1875
TransE,FB15k237,without,13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,M-N,head,1447,1447,872,0.3396189170224326,0.8050458431243896,0.36926605504587157
TransE,FB15k237,without,14,/film/film/language,M-N,head,314,314,166,0.3152866278375898,0.7710843086242676,0.3674698795180723
TransE,FB15k237,without,15,/location/location/contains,M-N,head,330,330,271,0.7138528057507106,0.24723246693611145,0.11439114391143912
TransE,FB15k237,without,16,/organization/organization/headquarters./location/mailing_address/country,M-1,head,7,7,0,0.0,,
TransE,FB15k237,without,17,/people/person/profession,M-N,head,1311,1311,424,0.1746758222579956,0.7806603908538818,0.3584905660377358
TransE,FB15k237,without,18,/location/statistical_region/religions./location/religion_percentage/religion,M-N,head,60,60,51,0.6476190515926906,0.4901960790157318,0.29411764705882354
TransE,FB15k237,without,19,/award/award_nominee/award_nominations./award/award_nomination/award,M-N,head,1067,1067,338,0.19052082087312425,0.7011834383010864,0.32840236686390534
TransE,FB15k237,without,20,/music/genre/artists,M-N,head,664,664,518,0.6701807294573102,0.29343628883361816,0.14671814671814673
TransE,FB15k237,without,21,/influence/influence_node/influenced_by,M-N,head,235,235,106,0.27537993448121206,0.7075471878051758,0.33962264150943394
TransE,FB15k237,without,22,/education/educational_institution/students_graduates./education/education/student,1-N,head,311,311,143,0.2912264551435198,0.6643356680870056,0.3006993006993007
TransE,FB15k237,without,23,/organization/organization_member/member_of./organization/organization_membership/organization,M-N,head,96,96,81,0.6860119019235883,0.34567901492118835,0.19753086419753085
TransE,FB15k237,without,24,/people/person/place_of_birth,M-1,head,170,170,12,0.03193277386682374,0.9166666865348816,0.4166666666666667
TransE,FB15k237,without,25,/common/topic/webpage./common/webpage/category,M-1,head,402,402,16,0.015280738872076784,0.8125,0.5
TransE,FB15k237,without,26,/film/film/other_crew./film/film_crew_gig/film_crew_role,M-N,head,606,606,173,0.12046204826661519,0.9190751314163208,0.4277456647398844
TransE,FB15k237,without,27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,M-N,head,317,317,259,0.6579540286745343,0.42084941267967224,0.2084942084942085
TransE,FB15k237,without,28,/film/film/country,M-1,head,131,131,15,0.04798255142356668,0.9333333373069763,0.5333333333333333
TransE,FB15k237,without,29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,M-N,head,258,258,244,0.8344407422201974,0.26229506731033325,0.13114754098360656
TransE,FB15k237,without,30,/award/award_winning_work/awards_won./award/award_honor/award,M-N,head,118,118,43,0.21912832983902522,0.6976743936538696,0.3953488372093023
TransE,FB15k237,without,31,/film/film/genre,M-N,head,722,722,169,0.11495844806943621,0.8520709872245789,0.3727810650887574
TransE,FB15k237,without,32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,M-N,head,160,160,143,0.7410714285714286,0.3916083872318268,0.18181818181818182
TransE,FB15k237,without,33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,M-1,head,46,46,9,0.046583851001092365,1.0,0.7777777777777778
TransE,FB15k237,without,34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,M-1,head,151,151,56,0.14096499234437943,0.9464285969734192,0.42857142857142855
TransE,FB15k237,without,35,/government/legislative_session/members./government/government_position_held/district_represented,M-N,head,117,117,116,0.9474969506263733,0.11206896603107452,0.04310344827586207
TransE,FB15k237,without,36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,M-N,head,1,1,0,0.0,,
TransE,FB15k237,without,37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,M-N,head,91,91,90,0.9607535345213754,0.07777778059244156,0.044444444444444446
TransE,FB15k237,without,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,M-N,head,132,132,57,0.3192640670708248,0.4912280738353729,0.3157894736842105
TransE,FB15k237,without,39,/people/deceased_person/place_of_death,M-1,head,78,78,10,0.04761904930429799,1.0,0.7
TransE,FB15k237,without,40,/sports/pro_athlete/teams./sports/sports_team_roster/team,M-N,head,16,16,13,0.6696428571428571,0.23076923191547394,0.23076923076923078
TransE,FB15k237,without,41,/music/artist/track_contributions./music/track_contribution/role,M-N,head,152,152,47,0.15413533789770945,0.8723404407501221,0.40425531914893614
TransE,FB15k237,without,42,/music/instrument/instrumentalists,M-N,head,153,153,135,0.7497665882110596,0.3037036955356598,0.1259259259259259
TransE,FB15k237,without,43,/people/person/gender,M-1,head,436,436,72,0.05930537411144802,0.9305555820465088,0.4305555555555556
TransE,FB15k237,without,44,/business/job_title/people_with_this_title./business/employment_tenure/company,M-N,head,85,85,82,0.8924369812011719,0.1463414579629898,0.08536585365853659
TransE,FB15k237,without,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,M-N,head,32,32,7,0.10714285714285714,0.7142857313156128,0.5714285714285714
TransE,FB15k237,without,46,/business/business_operation/industry,M-1,head,41,41,22,0.25435540080070496,0.9545454382896423,0.45454545454545453
TransE,FB15k237,without,47,/award/award_category/winners./award/award_honor/award_winner,M-N,head,217,217,168,0.6069782716887338,0.4404761791229248,0.20238095238095238
TransE,FB15k237,without,48,/people/person/nationality,M-1,head,494,494,80,0.09456333092280797,0.675000011920929,0.3625
TransE,FB15k237,without,49,/sports/sports_team/roster./baseball/baseball_roster_position/position,M-N,head,3,3,3,1.0,0.0,0.0
TransE,FB15k237,without,50,/people/cause_of_death/people,1-N,head,94,94,68,0.5486322130475726,0.47058823704719543,0.22058823529411764
