relation_id,relation_name,mapping_type,train_support,test_support,head_support,tail_support,eligible_support,inverse_strength,best_inverse_partner_id,best_inverse_partner_name,best_inverse_score,best_inverse_overlap_count,hits_r,alpha_r,delta_r
0,/location/country/form_of_government,M-N,298,43,43,43,67,0.0,1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,0.0,0,0.6445182817322868,0.28358209133148193,0.1791044776119403
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1-N,1272,91,91,91,72,0.3498427672955975,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.3498427672955975,445,0.23940346283572062,0.625,0.3055555555555556
2,/media_common/netflix_genre/titles,M-N,2671,124,124,124,144,0.48408835642081616,31,/film/film/genre,0.48408835642081616,1293,0.4879032245704106,0.3333333432674408,0.1875
3,/award/award_winner/awards_won./award/award_honor/award_winner,M-N,8423,41,41,41,55,0.7446278048201354,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.7446278048201354,6272,0.5975609762328011,0.23636363446712494,0.12727272727272726
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,M-N,2262,12,12,12,12,0.8081343943412909,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8081343943412909,1828,0.5,0.0,0.0
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,M-N,2265,10,10,10,10,0.8141280353200883,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8141280353200883,1844,0.5,0.0,0.0
6,/film/actor/film./film/performance/film,M-N,9494,836,836,836,349,0.1014324836738993,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,0.1014324836738993,963,0.11508885664599282,0.7134670615196228,0.335243553008596
7,/award/award_category/nominees./award/award_nomination/nominated_for,M-N,9465,858,858,858,1058,0.23423137876386688,30,/award/award_winning_work/awards_won./award/award_honor/award,0.23423137876386688,2217,0.4850149835859026,0.43005672097206116,0.1890359168241966
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,M-N,15989,214,214,214,359,0.3922696854087185,3,/award/award_winner/awards_won./award/award_honor/award_winner,0.3922696854087185,6272,0.760347136429378,0.19498607516288757,0.08913649025069638
9,/music/performance_role/regular_performances./music/group_membership/role,M-N,2655,40,40,40,35,0.44708097928436913,75,/music/performance_role/track_performances./music/track_contribution/role,0.44708097928436913,1187,0.2464285705770765,0.7142857313156128,0.3142857142857143
10,/award/award_category/winners./award/award_honor/ceremony,M-N,2834,323,323,323,619,0.0,0,/location/country/form_of_government,0.0,0,0.9179566502571106,0.11308562010526657,0.05815831987075929
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,M-1,1429,158,158,158,174,0.0,0,/location/country/form_of_government,0.0,0,0.5108499016080584,0.09195402264595032,0.05747126436781609
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,M-N,2992,24,24,24,29,0.7754010695187166,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.7754010695187166,2320,0.45833333475249155,0.3448275923728943,0.2413793103448276
