model,dataset,experiment_name,pool_mode,pool_size,num_communities,community_size,sampling_seed,k,total_voting_slots,pool_members,communities,unique_model_count,avg_pairwise_overlap,avg_pairwise_jaccard
RotatE,FB15k237,RotatE_FB15k237,first,10,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_14|seed_16;seed_17|seed_11;seed_0|seed_13;seed_10|seed_10;seed_12|seed_1;seed_11|seed_12;seed_13|seed_17;seed_1|seed_10;seed_16|seed_12;seed_15,10,0.28888888888888886,0.0962962962962963
RotatE,FB15k237,RotatE_FB15k237,first,10,10,3,0,10,30,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_14|seed_12;seed_10;seed_17|seed_10;seed_13;seed_0|seed_17;seed_11;seed_10|seed_13;seed_1;seed_12|seed_1;seed_14;seed_11|seed_16;seed_1;seed_13|seed_14;seed_15;seed_1|seed_13;seed_11;seed_16|seed_17;seed_16;seed_15,10,0.7777777777777778,0.16888888888888895
RotatE,FB15k237,RotatE_FB15k237,first,10,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_14|seed_10;seed_1;seed_12;seed_17|seed_13;seed_11;seed_16;seed_0|seed_1;seed_17;seed_15;seed_10|seed_14;seed_16;seed_13;seed_12|seed_1;seed_14;seed_12;seed_11|seed_14;seed_11;seed_12;seed_13|seed_16;seed_17;seed_15;seed_1|seed_17;seed_12;seed_0;seed_16|seed_17;seed_0;seed_16;seed_15,10,1.4444444444444444,0.24507936507936504
RotatE,FB15k237,RotatE_FB15k237,first,10,10,5,0,10,50,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_1;seed_14|seed_1;seed_12;seed_15;seed_13;seed_17|seed_11;seed_13;seed_1;seed_14;seed_0|seed_1;seed_14;seed_12;seed_13;seed_10|seed_1;seed_14;seed_11;seed_10;seed_12|seed_12;seed_16;seed_17;seed_13;seed_11|seed_12;seed_0;seed_15;seed_17;seed_13|seed_0;seed_10;seed_14;seed_12;seed_1|seed_0;seed_15;seed_14;seed_10;seed_16|seed_11;seed_13;seed_16;seed_0;seed_15,10,2.3333333333333335,0.32557319223985887
RotatE,FB15k237,RotatE_FB15k237,first,10,10,6,0,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_1;seed_0;seed_14|seed_12;seed_10;seed_15;seed_0;seed_13;seed_17|seed_14;seed_16;seed_13;seed_1;seed_11;seed_0|seed_15;seed_14;seed_13;seed_16;seed_1;seed_10|seed_17;seed_16;seed_11;seed_13;seed_10;seed_12|seed_0;seed_17;seed_16;seed_14;seed_12;seed_11|seed_0;seed_16;seed_15;seed_10;seed_1;seed_13|seed_14;seed_10;seed_16;seed_13;seed_15;seed_1|seed_11;seed_10;seed_14;seed_12;seed_17;seed_16|seed_1;seed_17;seed_10;seed_12;seed_11;seed_15,10,3.466666666666667,0.42529100529100516
RotatE,FB15k237,RotatE_FB15k237,first,10,10,8,0,10,80,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_1;seed_0;seed_15;seed_17;seed_14|seed_10;seed_12;seed_0;seed_13;seed_14;seed_16;seed_1;seed_17|seed_17;seed_10;seed_11;seed_12;seed_15;seed_16;seed_13;seed_0|seed_16;seed_17;seed_15;seed_13;seed_11;seed_0;seed_14;seed_10|seed_0;seed_1;seed_14;seed_11;seed_17;seed_15;seed_16;seed_12|seed_12;seed_14;seed_16;seed_0;seed_1;seed_13;seed_15;seed_11|seed_10;seed_16;seed_0;seed_15;seed_17;seed_11;seed_14;seed_13|seed_13;seed_17;seed_14;seed_0;seed_16;seed_11;seed_12;seed_1|seed_11;seed_12;seed_17;seed_0;seed_15;seed_14;seed_1;seed_16|seed_11;seed_12;seed_1;seed_14;seed_13;seed_0;seed_10;seed_15,10,6.377777777777778,0.6691358024691363
RotatE,FB15k237,RotatE_FB15k237,first,10,10,2,1,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_1;seed_10|seed_16;seed_1|seed_0;seed_12|seed_15;seed_0|seed_15;seed_11|seed_0;seed_13|seed_16;seed_15|seed_12;seed_17|seed_11;seed_16|seed_1;seed_14,10,0.3111111111111111,0.10370370370370369
RotatE,FB15k237,RotatE_FB15k237,first,10,10,3,1,10,30,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_1;seed_16;seed_10|seed_0;seed_15;seed_1|seed_15;seed_0;seed_12|seed_16;seed_13;seed_0|seed_12;seed_1;seed_11|seed_14;seed_0;seed_13|seed_0;seed_17;seed_15|seed_16;seed_0;seed_17|seed_14;seed_11;seed_16|seed_15;seed_0;seed_14,10,0.9555555555555556,0.21333333333333332
RotatE,FB15k237,RotatE_FB15k237,first,10,10,4,1,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_1;seed_16;seed_0;seed_10|seed_15;seed_17;seed_13;seed_1|seed_0;seed_16;seed_10;seed_12|seed_12;seed_10;seed_11;seed_0|seed_0;seed_17;seed_16;seed_11|seed_17;seed_0;seed_11;seed_13|seed_11;seed_14;seed_13;seed_15|seed_0;seed_11;seed_14;seed_17|seed_15;seed_17;seed_12;seed_16|seed_11;seed_13;seed_1;seed_14,10,1.488888888888889,0.2524867724867725
RotatE,FB15k237,RotatE_FB15k237,first,10,10,5,1,10,50,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_1;seed_16;seed_0;seed_12;seed_10|seed_15;seed_0;seed_14;seed_12;seed_1|seed_13;seed_11;seed_17;seed_0;seed_12|seed_14;seed_1;seed_16;seed_15;seed_0|seed_17;seed_0;seed_12;seed_14;seed_11|seed_11;seed_15;seed_14;seed_0;seed_13|seed_17;seed_11;seed_14;seed_16;seed_15|seed_15;seed_11;seed_10;seed_1;seed_17|seed_11;seed_15;seed_10;seed_0;seed_16|seed_15;seed_1;seed_16;seed_13;seed_14,10,2.4444444444444446,0.3377425044091711
RotatE,FB15k237,RotatE_FB15k237,first,10,10,6,1,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_1;seed_16;seed_0;seed_12;seed_14;seed_10|seed_0;seed_16;seed_11;seed_14;seed_10;seed_1|seed_1;seed_14;seed_0;seed_15;seed_16;seed_12|seed_17;seed_1;seed_12;seed_14;seed_10;seed_0|seed_15;seed_0;seed_13;seed_1;seed_12;seed_11|seed_16;seed_11;seed_10;seed_1;seed_14;seed_13|seed_16;seed_12;seed_0;seed_11;seed_17;seed_15|seed_1;seed_10;seed_13;seed_14;seed_15;seed_17|seed_1;seed_13;seed_15;seed_14;seed_12;seed_16|seed_15;seed_11;seed_10;seed_17;seed_12;seed_14,10,3.533333333333333,0.428994708994709
RotatE,FB15k237,RotatE_FB15k237,first,10,10,8,1,10,80,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_1;seed_16;seed_0;seed_12;seed_14;seed_15;seed_11;seed_10|seed_16;seed_13;seed_14;seed_10;seed_17;seed_0;seed_15;seed_1|seed_0;seed_17;seed_16;seed_14;seed_13;seed_15;seed_1;seed_12|seed_12;seed_15;seed_14;seed_1;seed_13;seed_10;seed_17;seed_0|seed_16;seed_12;seed_10;seed_1;seed_14;seed_17;seed_13;seed_11|seed_0;seed_15;seed_16;seed_12;seed_17;seed_1;seed_10;seed_13|seed_12;seed_1;seed_13;seed_10;seed_17;seed_11;seed_14;seed_15|seed_11;seed_12;seed_10;seed_15;seed_16;seed_13;seed_14;seed_17|seed_0;seed_15;seed_1;seed_13;seed_11;seed_12;seed_10;seed_16|seed_10;seed_13;seed_12;seed_16;seed_17;seed_0;seed_1;seed_14,10,6.377777777777778,0.667160493827161
RotatE,FB15k237,RotatE_FB15k237,first,10,10,2,2,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_0|seed_15;seed_1|seed_14;seed_16|seed_17;seed_10|seed_13;seed_15|seed_17;seed_14|seed_16;seed_12|seed_17;seed_11|seed_12;seed_17|seed_0;seed_13,10,0.28888888888888886,0.0962962962962963
RotatE,FB15k237,RotatE_FB15k237,first,10,10,3,2,10,30,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_15;seed_0|seed_15;seed_14;seed_1|seed_17;seed_15;seed_16|seed_17;seed_13;seed_10|seed_0;seed_17;seed_15|seed_13;seed_16;seed_14|seed_14;seed_15;seed_12|seed_15;seed_10;seed_11|seed_16;seed_10;seed_17|seed_11;seed_17;seed_13,10,0.9111111111111111,0.19777777777777777
RotatE,FB15k237,RotatE_FB15k237,first,10,10,4,2,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_15;seed_14;seed_0|seed_15;seed_14;seed_13;seed_1|seed_15;seed_12;seed_0;seed_16|seed_0;seed_14;seed_12;seed_10|seed_13;seed_14;seed_11;seed_15|seed_17;seed_10;seed_12;seed_14|seed_10;seed_11;seed_1;seed_12|seed_0;seed_10;seed_16;seed_11|seed_10;seed_16;seed_12;seed_17|seed_17;seed_14;seed_12;seed_13,10,1.511111111111111,0.253968253968254
RotatE,FB15k237,RotatE_FB15k237,first,10,10,5,2,10,50,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_15;seed_14;seed_12;seed_0|seed_17;seed_14;seed_13;seed_12;seed_1|seed_17;seed_12;seed_0;seed_14;seed_16|seed_14;seed_16;seed_11;seed_12;seed_10|seed_14;seed_10;seed_12;seed_1;seed_15|seed_11;seed_17;seed_0;seed_1;seed_14|seed_14;seed_10;seed_1;seed_13;seed_12|seed_17;seed_14;seed_13;seed_16;seed_11|seed_16;seed_10;seed_11;seed_14;seed_17|seed_17;seed_14;seed_15;seed_12;seed_13,10,2.688888888888889,0.38051146384479717
RotatE,FB15k237,RotatE_FB15k237,first,10,10,6,2,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_15;seed_14;seed_12;seed_13;seed_0|seed_14;seed_16;seed_13;seed_11;seed_0;seed_1|seed_0;seed_13;seed_11;seed_10;seed_14;seed_16|seed_15;seed_11;seed_13;seed_1;seed_14;seed_10|seed_11;seed_0;seed_1;seed_10;seed_14;seed_15|seed_10;seed_13;seed_12;seed_16;seed_15;seed_14|seed_10;seed_16;seed_15;seed_11;seed_13;seed_12|seed_14;seed_17;seed_10;seed_12;seed_1;seed_11|seed_14;seed_15;seed_13;seed_12;seed_1;seed_17|seed_16;seed_12;seed_11;seed_17;seed_14;seed_13,10,3.688888888888889,0.4528042328042327
RotatE,FB15k237,RotatE_FB15k237,first,10,10,8,2,10,80,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_15;seed_14;seed_12;seed_13;seed_17;seed_16;seed_0|seed_16;seed_13;seed_0;seed_15;seed_11;seed_12;seed_10;seed_1|seed_14;seed_17;seed_12;seed_1;seed_15;seed_13;seed_0;seed_16|seed_12;seed_0;seed_1;seed_11;seed_15;seed_13;seed_14;seed_10|seed_17;seed_13;seed_12;seed_16;seed_14;seed_1;seed_11;seed_15|seed_15;seed_13;seed_17;seed_12;seed_10;seed_16;seed_1;seed_14|seed_10;seed_15;seed_14;seed_16;seed_11;seed_1;seed_13;seed_12|seed_13;seed_16;seed_17;seed_15;seed_10;seed_12;seed_1;seed_11|seed_13;seed_15;seed_11;seed_16;seed_1;seed_10;seed_14;seed_17|seed_10;seed_12;seed_15;seed_11;seed_17;seed_16;seed_14;seed_13,10,6.533333333333333,0.6948148148148152
RotatE,FB15k237,RotatE_FB15k237,first,10,10,2,3,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_13;seed_11|seed_17;seed_16|seed_12;seed_10|seed_11;seed_15|seed_16;seed_12|seed_16;seed_17|seed_17;seed_0|seed_16;seed_14|seed_15;seed_13|seed_11;seed_1,10,0.3333333333333333,0.1185185185185185
RotatE,FB15k237,RotatE_FB15k237,first,10,10,3,3,10,30,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_13;seed_12;seed_11|seed_11;seed_15;seed_16|seed_17;seed_16;seed_10|seed_14;seed_10;seed_15|seed_11;seed_10;seed_12|seed_16;seed_14;seed_17|seed_1;seed_10;seed_0|seed_10;seed_0;seed_14|seed_12;seed_0;seed_13|seed_13;seed_16;seed_1,10,0.7555555555555555,0.16222222222222227
