relation_id,relation_name,mapping_type,train_support,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r,directional_inverse_strength,directional_best_inverse_partner_id,directional_best_inverse_partner_name,directional_best_inverse_overlap_count,directional_best_reverse_directional_score,directional_best_overlap_jaccard,mutual_inverse_strength,mutual_best_inverse_partner_id,mutual_best_inverse_partner_name,mutual_best_inverse_overlap_count,mutual_best_directional_score,mutual_best_reverse_directional_score,mutual_best_overlap_jaccard,second_best_mutual_inverse_strength,second_best_mutual_partner_id,second_best_mutual_partner_name,inverse_clarity
0,/location/country/form_of_government,M-N,298,43,43,43,63,0.647840542452676,0.2222222238779068,0.14285714285714285,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1-N,1272,91,91,91,65,0.27394035884312223,0.4153846204280853,0.23076923076923078,0.3498427672955975,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,445,0.0708937390473156,0.06264076576576577,0.11789641012054576,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,445,0.3498427672955975,0.0708937390473156,0.06264076576576577,0.045023696682464455,145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,0.0728727134380813
2,/media_common/netflix_genre/titles,M-N,2671,124,124,124,136,0.4884792608874185,0.1985294073820114,0.11029411764705882,0.48408835642081616,31,/film/film/genre,1293,0.1779031370390754,0.14954892435808467,0.26018714156353756,31,/film/film/genre,1293,0.48408835642081616,0.1779031370390754,0.14954892435808467,0.06183536825521859,28,/film/film/country,0.19835177330831896
3,/award/award_winner/awards_won./award/award_honor/award_winner,M-N,8423,41,41,41,56,0.614982579435621,0.1964285671710968,0.08928571428571429,0.7446278048201354,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,6272,0.3922696854087185,0.34575523704520394,0.5138456496804851,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,6272,0.7446278048201354,0.3922696854087185,0.34575523704520394,0.02214616468693376,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.4916994849935513
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,M-N,2262,12,12,12,12,0.5,0.0,0.0,0.8081343943412909,130,/sports/sports_position/players./sports/sports_team_roster/team,1828,0.5222857142857142,0.4646670055922725,0.6345019090593543,130,/sports/sports_position/players./sports/sports_team_roster/team,1828,0.8081343943412909,0.5222857142857142,0.4646670055922725,0.0,,,0.6345019090593543
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,M-N,2265,10,10,10,10,0.5,0.0,0.0,0.8141280353200883,130,/sports/sports_position/players./sports/sports_team_roster/team,1844,0.5268571428571428,0.47028819178780923,0.6397224631396357,130,/sports/sports_position/players./sports/sports_team_roster/team,1844,0.8141280353200883,0.5268571428571428,0.47028819178780923,0.0,,,0.6397224631396357
6,/film/actor/film./film/performance/film,M-N,9494,836,836,836,281,0.12141148213829313,0.49466192722320557,0.2313167259786477,0.1014324836738993,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,963,0.32185828877005346,0.08357198646185889,0.15425276309466604,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,963,0.1014324836738993,0.32185828877005346,0.08357198646185889,0.028596440035016053,109,/film/film/written_by,0.12565632305965
7,/award/award_category/nominees./award/award_nomination/nominated_for,M-N,9465,858,858,858,973,0.5008325023310525,0.24871531128883362,0.11408016443987667,0.23423137876386688,30,/award/award_winning_work/awards_won./award/award_honor/award,2217,0.6697885196374622,0.20998295131653721,0.3470841487279844,30,/award/award_winning_work/awards_won./award/award_honor/award,2217,0.23423137876386688,0.6697885196374622,0.20998295131653721,0.0007399870502266211,19,/award/award_nominee/award_nominations./award/award_nomination/award,0.3463441616777578
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,M-N,15989,214,214,214,354,0.7783711637769427,0.12711864709854126,0.06497175141242938,0.3922696854087185,3,/award/award_winner/awards_won./award/award_honor/award_winner,6272,0.7446278048201354,0.34575523704520394,0.5138456496804851,3,/award/award_winner/awards_won./award/award_honor/award_winner,6272,0.3922696854087185,0.7446278048201354,0.34575523704520394,0.01862857142857143,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.49521707825191363
9,/music/performance_role/regular_performances./music/group_membership/role,M-N,2655,40,40,40,38,0.35178570662225994,0.5,0.23684210526315788,0.44708097928436913,75,/music/performance_role/track_performances./music/track_contribution/role,1187,0.31277997364953886,0.2255367661029831,0.36806201550387596,75,/music/performance_role/track_performances./music/track_contribution/role,1187,0.44708097928436913,0.31277997364953886,0.2255367661029831,0.1560913705583756,57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,0.21197064494550036
10,/award/award_category/winners./award/award_honor/ceremony,M-N,2834,323,323,323,621,0.9294559785297939,0.08534621447324753,0.037037037037037035,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,M-1,1429,158,158,158,186,0.5248643670763288,0.1505376398563385,0.08064516129032258,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,M-N,2992,24,24,24,22,0.3928571471146175,0.22727273404598236,0.18181818181818182,0.7754010695187166,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,2320,0.3696033136848813,0.33386098719240176,0.5005933757686913,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,2320,0.7754010695187166,0.3696033136848813,0.33386098719240176,0.15425276309466604,6,/film/actor/film./film/performance/film,0.34634061267402527
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,M-N,12893,1447,1447,1447,2151,0.6262711031096322,0.3170618414878845,0.13714551371455136,0.003335143100907469,2,/media_common/netflix_genre/titles,43,0.016098839385997755,0.002770440048965917,0.0055255718324338215,2,/media_common/netflix_genre/titles,43,0.003335143100907469,0.016098839385997755,0.002770440048965917,0.00014819205690574984,59,/film/film_subject/films,0.005377379775528071
