model,dataset,baseline,relation_id,relation_name,mapping_type,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r
TransE,FB15k237,without,0,/location/country/form_of_government,M-N,43,43,43,67,0.6445182817322868,0.28358209133148193,0.1791044776119403
TransE,FB15k237,without,1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1-N,91,91,91,72,0.23940346283572062,0.625,0.3055555555555556
TransE,FB15k237,without,2,/media_common/netflix_genre/titles,M-N,124,124,124,144,0.4879032245704106,0.3333333432674408,0.1875
TransE,FB15k237,without,3,/award/award_winner/awards_won./award/award_honor/award_winner,M-N,41,41,41,55,0.5975609762328011,0.23636363446712494,0.12727272727272726
TransE,FB15k237,without,4,/soccer/football_team/current_roster./sports/sports_team_roster/position,M-N,12,12,12,12,0.5,0.0,0.0
TransE,FB15k237,without,5,/soccer/football_team/current_roster./soccer/football_roster_position/position,M-N,10,10,10,10,0.5,0.0,0.0
TransE,FB15k237,without,6,/film/actor/film./film/performance/film,M-N,836,836,836,349,0.11508885664599282,0.7134670615196228,0.335243553008596
TransE,FB15k237,without,7,/award/award_category/nominees./award/award_nomination/nominated_for,M-N,858,858,858,1058,0.4850149835859026,0.43005672097206116,0.1890359168241966
TransE,FB15k237,without,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,M-N,214,214,214,359,0.760347136429378,0.19498607516288757,0.08913649025069638
TransE,FB15k237,without,9,/music/performance_role/regular_performances./music/group_membership/role,M-N,40,40,40,35,0.2464285705770765,0.7142857313156128,0.3142857142857143
TransE,FB15k237,without,10,/award/award_category/winners./award/award_honor/ceremony,M-N,323,323,323,619,0.9179566502571106,0.11308562010526657,0.05815831987075929
TransE,FB15k237,without,11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,M-1,158,158,158,174,0.5108499016080584,0.09195402264595032,0.05747126436781609
TransE,FB15k237,without,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,M-N,24,24,24,29,0.45833333475249155,0.3448275923728943,0.2413793103448276
TransE,FB15k237,without,13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,M-N,1447,1447,1447,2202,0.5800671322005135,0.48092642426490784,0.21435059037238874
TransE,FB15k237,without,14,/film/film/language,M-N,314,314,314,467,0.616469510963985,0.3276231288909912,0.15845824411134904
TransE,FB15k237,without,15,/location/location/contains,M-N,330,330,330,378,0.45800866399492535,0.36243385076522827,0.16137566137566137
TransE,FB15k237,without,16,/organization/organization/headquarters./location/mailing_address/country,M-1,7,7,7,6,0.4285714328289032,0.0,0.0
TransE,FB15k237,without,17,/people/person/profession,M-N,1311,1311,1311,1668,0.5443500110081264,0.2625899314880371,0.11750599520383694
TransE,FB15k237,without,18,/location/statistical_region/religions./location/religion_percentage/religion,M-N,60,60,60,109,0.7880952443395343,0.26605504751205444,0.14678899082568808
TransE,FB15k237,without,19,/award/award_nominee/award_nominations./award/award_nomination/award,M-N,1067,1067,1067,1236,0.44818583130836487,0.44983819127082825,0.19579288025889968
