relation_id,relation_name,side,mapping_type,train_frequency,log_train_frequency,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
0,/location/country/form_of_government,head,M-N,298,5.700443573390686,43,43,20,0.3156146194253649,0.6499999761581421,0.45
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,head,1-N,1272,7.149131598557407,91,91,43,0.36891680530139376,0.39534884691238403,0.27906976744186046
2,/media_common/netflix_genre/titles,head,M-N,2671,7.890582534656536,124,124,101,0.764976944242205,0.09900990128517151,0.04950495049504951
3,/award/award_winner/awards_won./award/award_honor/award_winner,head,M-N,8423,9.03884005381381,41,41,25,0.5574912939752851,0.1599999964237213,0.12
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,head,M-N,2262,7.724446645633537,12,12,0,0.0,,
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,head,M-N,2265,7.725771441587952,10,10,0,0.0,,
6,/film/actor/film./film/performance/film,head,M-N,9494,9.158520623246385,836,836,134,0.11500341870955058,0.5149253606796265,0.2835820895522388
7,/award/award_category/nominees./award/award_nomination/nominated_for,head,M-N,9465,9.155461710466193,858,858,679,0.7276057260377067,0.18409425020217896,0.09425625920471281
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,head,M-N,15989,9.679718805828,214,214,180,0.7803738287517002,0.15000000596046448,0.08888888888888889
9,/music/performance_role/regular_performances./music/group_membership/role,head,M-N,2655,7.884576510596324,40,40,18,0.29999999914850506,0.6111111044883728,0.3333333333333333
10,/award/award_category/winners./award/award_honor/ceremony,head,M-N,2834,7.949797216161852,323,323,306,0.9049093297549656,0.12745098769664764,0.05228758169934641
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,head,M-1,1429,7.265429723253953,158,158,28,0.04972875118255615,1.0,0.5357142857142857
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,head,M-N,2992,8.004031507852698,24,24,13,0.4702381023338863,0.23076923191547394,0.15384615384615385
