relation_id,relation_name,train_support,self_loop_count,non_self_train_support,symmetric_supported_edge_count,symmetric_supported_non_self_edge_count,symmetry_score,symmetry_score_excluding_self_loops
0,/location/country/form_of_government,298,0,298,0,0,0.0,0.0
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1272,0,1272,0,0,0.0,0.0
2,/media_common/netflix_genre/titles,2671,0,2671,0,0,0.0,0.0
3,/award/award_winner/awards_won./award/award_honor/award_winner,8423,0,8423,6860,6860,0.814436661522023,0.814436661522023
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,2262,0,2262,0,0,0.0,0.0
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,2265,0,2265,0,0,0.0,0.0
6,/film/actor/film./film/performance/film,9494,0,9494,0,0,0.0,0.0
7,/award/award_category/nominees./award/award_nomination/nominated_for,9465,0,9465,0,0,0.0,0.0
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,15989,0,15989,12950,12950,0.8099318281318406,0.8099318281318406
9,/music/performance_role/regular_performances./music/group_membership/role,2655,0,2655,2170,2170,0.8173258003766478,0.8173258003766478
10,/award/award_category/winners./award/award_honor/ceremony,2834,0,2834,0,0,0.0,0.0
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,1429,0,1429,0,0,0.0,0.0
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,2992,0,2992,0,0,0.0,0.0
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,12893,0,12893,0,0,0.0,0.0
14,/film/film/language,2570,0,2570,0,0,0.0,0.0
15,/location/location/contains,5201,0,5201,0,0,0.0,0.0
16,/organization/organization/headquarters./location/mailing_address/country,182,0,182,0,0,0.0,0.0
17,/people/person/profession,10945,1,10944,1,0,9.136592051164915e-05,0.0
18,/location/statistical_region/religions./location/religion_percentage/religion,596,0,596,0,0,0.0,0.0
19,/award/award_nominee/award_nominations./award/award_nomination/award,12157,0,12157,0,0,0.0,0.0
20,/music/genre/artists,5880,0,5880,0,0,0.0,0.0
21,/influence/influence_node/influenced_by,1908,2,1906,54,52,0.02830188679245283,0.02728226652675761
22,/education/educational_institution/students_graduates./education/education/student,2640,0,2640,0,0,0.0,0.0
23,/organization/organization_member/member_of./organization/organization_membership/organization,797,0,797,0,0,0.0,0.0
24,/people/person/place_of_birth,2465,0,2465,0,0,0.0,0.0
25,/common/topic/webpage./common/webpage/category,3612,0,3612,0,0,0.0,0.0
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,5305,0,5305,0,0,0.0,0.0
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,2727,0,2727,0,0,0.0,0.0
28,/film/film/country,2407,0,2407,0,0,0.0,0.0
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,2130,0,2130,0,0,0.0,0.0
30,/award/award_winning_work/awards_won./award/award_honor/award,3310,0,3310,0,0,0.0,0.0
31,/film/film/genre,7268,1,7267,1,0,0.0001375894331315355,0.0
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,2337,0,2337,0,0,0.0,0.0
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,373,0,373,0,0,0.0,0.0
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,1210,0,1210,0,0,0.0,0.0
35,/government/legislative_session/members./government/government_position_held/district_represented,1070,0,1070,0,0,0.0,0.0
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,622,0,622,0,0,0.0,0.0
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,760,0,760,0,0,0.0,0.0
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,6277,0,6277,4,4,0.0006372470925601402,0.0006372470925601402
39,/people/deceased_person/place_of_death,695,0,695,0,0,0.0,0.0
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,676,0,676,0,0,0.0,0.0
41,/music/artist/track_contributions./music/track_contribution/role,1772,0,1772,0,0,0.0,0.0
42,/music/instrument/instrumentalists,1938,0,1938,0,0,0.0,0.0
43,/people/person/gender,3717,0,3717,0,0,0.0,0.0
44,/business/job_title/people_with_this_title./business/employment_tenure/company,734,0,734,0,0,0.0,0.0
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,1511,0,1511,1216,1216,0.8047650562541363,0.8047650562541363
46,/business/business_operation/industry,330,0,330,0,0,0.0,0.0
47,/award/award_category/winners./award/award_honor/award_winner,5673,0,5673,0,0,0.0,0.0
48,/people/person/nationality,4197,0,4197,0,0,0.0,0.0
49,/sports/sports_team/roster./baseball/baseball_roster_position/position,183,0,183,0,0,0.0,0.0
50,/people/cause_of_death/people,737,0,737,0,0,0.0,0.0
51,/tv/tv_program/languages,254,0,254,0,0,0.0,0.0
52,/music/genre/parent_genre,678,1,677,15,14,0.022123893805309734,0.0206794682422452
53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,153,0,153,118,118,0.7712418300653595,0.7712418300653595
54,/location/country/capital,142,3,139,3,0,0.02112676056338028,0.0
55,/film/special_film_performance_type/film_performance_type./film/performance/film,93,0,93,0,0,0.0,0.0
56,/location/hud_county_place/place,459,459,0,459,0,1.0,0.0
57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,497,0,497,402,402,0.8088531187122736,0.8088531187122736
58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,2051,0,2051,1660,1660,0.8093612871769869,0.8093612871769869
59,/film/film_subject/films,603,1,602,1,0,0.001658374792703151,0.0
60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,475,0,475,0,0,0.0,0.0
61,/education/educational_institution/colors,856,0,856,0,0,0.0,0.0
62,/base/aareas/schema/administrative_area/administrative_parent,579,0,579,0,0,0.0,0.0
63,/organization/role/leaders./organization/leadership/organization,756,0,756,0,0,0.0,0.0
64,/government/legislative_session/members./government/government_position_held/legislative_sessions,814,0,814,668,668,0.8206388206388207,0.8206388206388207
65,/olympics/olympic_games/sports,664,0,664,0,0,0.0,0.0
66,/people/person/places_lived./people/place_lived/location,3738,0,3738,0,0,0.0,0.0
67,/award/award_category/disciplines_or_subjects,204,0,204,0,0,0.0,0.0
68,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,688,0,688,0,0,0.0,0.0
69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,1153,0,1153,0,0,0.0,0.0
70,/language/human_language/countries_spoken_in,335,0,335,0,0,0.0,0.0
71,/people/ethnicity/people,2063,0,2063,0,0,0.0,0.0
72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,760,0,760,0,0,0.0,0.0
73,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,256,0,256,0,0,0.0,0.0
74,/film/film/other_crew./film/film_crew_gig/crewmember,384,0,384,0,0,0.0,0.0
75,/music/performance_role/track_performances./music/track_contribution/role,3795,0,3795,3068,3068,0.8084321475625823,0.8084321475625823
76,/music/record_label/artist,2226,0,2226,0,0,0.0,0.0
77,/base/popstra/celebrity/dated./base/popstra/dated/participant,1404,0,1404,1134,1134,0.8076923076923077,0.8076923076923077
78,/base/locations/continents/countries_within,125,0,125,0,0,0.0,0.0
79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,269,0,269,0,0,0.0,0.0
80,/sports/sports_team/sport,423,0,423,0,0,0.0,0.0
81,/education/educational_institution_campus/educational_institution,526,526,0,526,0,1.0,0.0
82,/people/person/religion,1085,0,1085,0,0,0.0,0.0
83,/organization/organization/headquarters./location/mailing_address/citytown,852,0,852,0,0,0.0,0.0
84,/film/film/produced_by,1285,0,1285,0,0,0.0,0.0
85,/people/person/spouse_s./people/marriage/type_of_union,2909,0,2909,0,0,0.0,0.0
86,/film/film/production_companies,1568,0,1568,0,0,0.0,0.0
87,/location/country/second_level_divisions,463,0,463,0,0,0.0,0.0
88,/base/culturalevent/event/entity_involved,276,0,276,0,0,0.0,0.0
89,/education/educational_degree/people_with_this_degree./education/education/institution,2257,0,2257,0,0,0.0,0.0
90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,285,0,285,0,0,0.0,0.0
91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,121,0,121,0,0,0.0,0.0
92,/music/performance_role/regular_performances./music/group_membership/group,1327,0,1327,0,0,0.0,0.0
93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,215,0,215,0,0,0.0,0.0
94,/sports/sports_team_location/teams,331,0,331,0,0,0.0,0.0
95,/sports/sports_team/colors,689,0,689,0,0,0.0,0.0
96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,437,0,437,0,0,0.0,0.0
97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,717,0,717,592,592,0.8256624825662483,0.8256624825662483
98,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,233,0,233,0,0,0.0,0.0
99,/user/alexander/philosophy/philosopher/interests,100,0,100,0,0,0.0,0.0
100,/people/person/languages,783,0,783,0,0,0.0,0.0
101,/education/educational_institution/students_graduates./education/education/major_field_of_study,2622,0,2622,0,0,0.0,0.0
102,/film/director/film,859,0,859,0,0,0.0,0.0
103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,909,0,909,0,0,0.0,0.0
104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,381,0,381,0,0,0.0,0.0
105,/film/film/costume_design_by,192,0,192,0,0,0.0,0.0
